"id","author","year","title","category","stock","price","rating"
"UHmNLLd5PdsHYcPCs0dF","Carolyn Wade",2004,"Two mean present","biography",18,271.94,3
"paRNlardinyc9CVpINCY","Leah Kerr",1948,"Production three","biography",4,73.44,4
"NmrlzD6iKP5dp78V1ByI","Ray Torres",1927,"Bag among then","non-fiction",15,133.99,1
"U0ptytF72qHX9N6Xt3Nh","Vicki Simmons",1932,"Task task rest poor","stem",5,135.21,2
"mtSr7X8aQA9O5PkZa9SL","James Hodge",1998,"Worry inside must","non-fiction",8,238.78,2
"vQKzd6kAzQ4oB876IGtd","Derek Wilson",1995,"Who organization","non-fiction",18,221.07,3
"AhSKHFYjBjTNFkP9bzGV","Ray Torres",1968,"Help former tend","self-help",2,124.65,2
"4NUu3QqRGp6jjREZ275X","Veronica Williams",2013,"Son issue maybe","self-help",20,25.53,4
"UtfrV6O2cSlQ5klALATV","Brian Myers",1991,"Democratic trip","stem",2,50.21,1
"gj7mlZNwTrc90nkoneNh","Abigail Green",1947,"Nothing civil","non-fiction",12,215.79,2
"gs1G95fsVrFycvC39Gyj","Joseph Young",1964,"At work film","biography",4,20.14,1
"8O88chpjLeKJkUpPm5K6","Zachary Jacobson",1912,"For several office","stem",4,172.07,2
"zko1UDy1R3MqBFaRQKPo","Zachary Jacobson",1904,"Ten work store get","self-help",6,228.88,1
"9yEW98NEUzxyeNq2RVND","James Hodge",1941,"Realize popular","stem",0,175.23,1
"S8n6zMBG1RG64dB8Z5wd","Jonathan Vaughan",1922,"Late student style","non-fiction",4,288.45,2
"1rCCTAUTlQ5rD4qR08z2","Ray Torres",1914,"Perform Mrs policy","self-help",6,81.51,4
"8iWaf1vOiyRNvJWQCulf","Ray Torres",2021,"Major would meet","fiction",11,79.49,3
"zhs0AszImxva1g5dfkfJ","David Winters",2019,"Stock strategy","non-fiction",6,233.9,5
"xPSrSAV6DNExVCs3l7fB","Jonathan Vaughan",1939,"Style executive car","non-fiction",8,43.88,4
"6IFMAfBxAsA3UpWy9T0k","David Winters",1978,"Add early Mrs sure","biography",10,93.98,2
"iHHjgA0CU78nadnJ0vsJ","Elizabeth Mack",2001,"Mean television yet","fiction",15,284.94,1
"7Q641tqWmnHpERSDrZad","James Hodge",1981,"Girl worry American","fiction",1,68.79,1
"aBRL5w0rGRz5ucJEn52R","Elizabeth Mack",2015,"His effect alone no","stem",0,287.51,4
"a0u4JJXw346KWmSqBzrg","Tammy Leach",1997,"Game perhaps tax","biography",7,297.25,4
"22bsrN48kGpJVjsWh98n","Brian Myers",1909,"Guess per event","stem",16,240.9,2
"MbRkfh1swjF0uNrWsvEf","Joseph Young",1945,"Grow thank water","non-fiction",3,35.32,4
"OuPpNMPqWdfr2XLZ2Huv","Carolyn Wade",2019,"Relationship alone","stem",3,99.13,5
"MGlbd0PF5Z24wloK7E9g","Brian Combs",1984,"Beautiful share","self-help",19,127.86,2
"tqzxomG6QK0oJxc2oRbH","Jonathan Vaughan",1905,"Available popular","biography",18,185.8,3
"QvF6FncoM91fchLiM5Ov","Tracie David",1937,"Hour early build","non-fiction",19,228.53,4
"z7mqkDo4uwawmRFNquGd","Robert Herrera",1915,"Possible indeed","biography",8,25.45,5
"FERc1Tdq0q97qrFNrxXd","Veronica Williams",1930,"Program than","biography",6,228.35,2
"Eausmy7v3R0DOzBICy6x","David Winters",1934,"Western pattern","biography",5,176.53,3
"dxiaLoNeRs4jk31JNb37","Elizabeth Mack",1999,"Imagine improve pay","fiction",12,293.31,1
"5ilvPf3YGZgbw4ZMci6U","Joseph Young",1918,"Everybody suddenly","biography",0,298.7,2
"aHAe7B5p47mepEQns1Zt","Tracie David",1932,"Future live fund","self-help",5,51.25,5
"Hg0NsAo5Vj8j4f0EFL7Q","Carolyn Wade",1907,"Need pass part","fiction",9,298.26,2
"l333SIZimMAoZkVRFTdp","Derek Wilson",1949,"Lay well have hope","stem",2,124.82,2
"nmfp43o7zM5cbCBdnHFd","Carolyn Wade",2011,"Value worry ability","non-fiction",12,21.58,1
"absXDj0f7qTap7VHYfpU","Brian Myers",1966,"Pass forward edge","self-help",19,92.97,4
"hQyfVRhKeB4LmaLJAm3U","Elizabeth Mack",2016,"Peace another but","biography",8,172.62,3
"SUL6yq6Zh8xhJVFKP6HH","Tammy Leach",1942,"Art still list cell","biography",19,248.24,5
"9CVD4Y8NXKQ3mz31Q3m0","Brian Myers",1990,"Certain thousand","fiction",5,40.57,4
"TSJJgT6ALqcdg4SBXPUE","Steven Sanchez",1979,"Enough season","biography",19,122.61,1
"dbtPOxqF8uPnYzzYopqc","Steven Sanchez",2000,"Strategy seven yes","biography",2,99.59,3
"huA4k6tXqZimgUkOgyAA","Tracie David",1973,"Require particular","non-fiction",9,143.35,5
"eI7re67rOPQWD8ILrBwa","Vicki Simmons",1906,"American practice","non-fiction",7,183.46,2
"eJKGoH5BCMOdaTcFcUKj","Tammy Leach",1962,"Baby medical","fiction",5,170.6,4
"VY5vHj7KsF2kpIe55g0g","Vicki Simmons",1915,"My morning car tell","non-fiction",18,223.08,2
"rNVeLUYskG8WlKDT6zVZ","Abigail Green",1982,"Everyone building","stem",17,215.47,3
"W2OuB7dGsJHs1G9BZmiw","David Winters",1985,"Theory democratic","biography",15,135.09,5
"7pPRpyVsWZn8PqtgH0Se","Leah Kerr",2010,"Really attack life","self-help",12,60.26,2
"qBiphjSGExyjzf7665ar","Carolyn Wade",1943,"Someone none","fiction",17,136.62,3
"pF8CYd5xspKteUTTqlIV","Robert Herrera",1993,"Recognize my","self-help",3,299.98,4
"BqoJ2u25zGPjuNWUGMwP","Veronica Williams",1955,"In what policy cup","fiction",5,91.2,5
"Ga8OiJ4QHtNCNSbH4fAD","Tracie David",1991,"Know my let true","stem",3,42.35,1
"hNGBCRJjmMAOfxI6paEp","Jeremy Murphy",1994,"Learn beyond minute","fiction",12,240.22,5
"ZOwI9rUYjMtxkC3RUWT2","Veronica Williams",2011,"Order of activity","non-fiction",3,142.06,5
"kYaT9XqoVjMhi2xq3B87","David Winters",1937,"Deal consumer feel","non-fiction",18,154.0,5
"f3nPaBevS6QHz8pypeYn","Elizabeth Mack",2017,"Task billion effort","stem",3,99.13,4
"anUxj8NrjQrxNpwWXaiy","Elizabeth Mack",1989,"Financial professor","self-help",1,154.49,3
"cRsy4KehtgJwO6KmgjhH","Jeremy Murphy",1982,"Heavy name","self-help",2,77.14,3
"IJA0lZeCsFZT14Ksnpd0","Veronica Williams",1965,"By such sometimes","non-fiction",20,261.05,1
"DjBoxDQblwqPoPjKsixI","Abigail Green",1984,"Pretty off","stem",20,78.39,1
"3LCYsKZBULZw9Tk5KvIB","David Winters",1989,"So life interest","self-help",11,68.38,4
"63Y52kG8fNm72sjdjasp","Vicki Simmons",1934,"Purpose green the","stem",6,128.45,2
"xZJZpvmmYJYTYhkVxXsg","James Hodge",1948,"Century represent","self-help",11,44.22,4
"n0V65iN3FK4YXvmCt5iQ","Derek Wilson",1976,"Control dog since","biography",4,136.95,4
"VelsJO1uEiwXmsiQPf1q","Leah Kerr",2003,"Goal concern guess","stem",17,190.61,2
"LnpUyszo3pgM63RiuHY1","Tracie David",1927,"Commercial once","fiction",4,230.26,4
"YavGmF7Asp98ic5fRmBS","Vicki Simmons",2020,"Require write","fiction",2,227.66,3
"dfmPSbdOthKDFqyx9vQk","Joseph Young",1991,"Remember out court","non-fiction",18,120.2,1
"1uPCsy1aNeWVoYERZMPb","Tammy Leach",1919,"Information reduce","self-help",12,65.44,2
"neIPzcuIjQOKEKLXGA9G","Zachary Jacobson",1939,"Crime himself","biography",4,247.36,5
"DnFNKuTgvbiK0zrG8tcH","Vicki Simmons",1918,"Ability worker","self-help",4,178.34,1
"vea0VCstGmY0BRky4pgn","James Hodge",2023,"Hear world parent","stem",10,295.86,2
"lUkOF9iHD2ntas8GR5jU","Ray Torres",2002,"His address lay","fiction",3,90.89,2
"8QMlNsYZqvFIR5jaWoTr","Robert Herrera",2017,"Any possible","non-fiction",7,28.98,4
"gqxpdGaM0AwaOMyUv6DN","Jonathan Vaughan",1911,"Beat writer area","stem",10,15.64,3
"G6FPxfEwRmA8VW6NlJe5","Derek Wilson",1952,"Mouth require","fiction",6,143.46,4
"aI1VCwgAXyIkfaHJdvX4","David Winters",1918,"Rest game herself","biography",12,85.16,5
"R2PkKPVKI0lOp15rzyvz","Veronica Williams",1902,"Begin go maintain","non-fiction",4,195.22,3
"VdsZ5V76Bwpggyxxlxi5","Veronica Williams",1945,"Clear executive","non-fiction",15,28.08,4
"amwkFOXZLC6Et0ZVfFDJ","Joseph Young",1999,"Administration","non-fiction",20,123.06,5
"f9tuq07rzWKynBZjgIv7","Robert Herrera",1987,"Reality computer","self-help",16,26.93,1
"cvZf5YAHn9rq6AvnBer4","Brian Combs",1911,"Bar admit catch guy","biography",6,241.98,5
"J8gJXNNOLSLBAaayAWTn","Zachary Jacobson",1902,"Ground about player","biography",5,61.76,4
"IvPBdTvuNnUV2DOM7Fam","Steven Sanchez",1917,"Chair hit difficult","non-fiction",12,107.71,5
"Xw6UdZbCnvxjmPjGedKf","David Winters",1950,"Discussion seat","non-fiction",7,68.23,1
"ccqEZetKSCvjvUgvoj9E","Jonathan Vaughan",1994,"Doctor health","self-help",6,282.53,4
"ByAhTzaFPNipALtcgeFl","Tracie David",2015,"Check public grow","fiction",11,48.61,1
"ZtTRvJUtjljtyyFc9rxx","Carolyn Wade",2022,"Show ten add here","non-fiction",9,109.12,1
"5xaWwi833GcXWdTi7yl8","Veronica Williams",2004,"Point believe reach","biography",9,63.05,4
"E6L666MrqHyAgol9CqLH","Zachary Jacobson",1945,"Production type","stem",20,51.29,3
"kMDv2s8JWFCSScu99NTb","Zachary Jacobson",1985,"Party more offer","self-help",19,61.96,2
"y05AGscajCABOEtMDsT8","Veronica Williams",1924,"Organization agency","stem",20,116.66,5
"e6ZWpsTQAqZp1XT5PCTT","David Winters",1986,"Author memory often","non-fiction",16,219.79,1
"A8qVXjEfXho2AjGJX36W","Brian Myers",1915,"Include important","non-fiction",4,58.47,1
"gAyyLC6OUJbxUhXgYdhM","James Hodge",1961,"Just break end boy","non-fiction",2,224.67,4
"q5KUzw1MHLf5UZdFhdLk","Vicki Simmons",1973,"Bad activity","self-help",15,12.35,1
"6hNAr91GPK4xJDGF1iJy","Brian Myers",1915,"Specific available","biography",13,177.38,3
"YPAFPU4ACGwzVlGuJk9v","Jonathan Vaughan",2007,"Word community list","biography",10,154.48,3
"SWvHaySC5qZ1f5QzSzuB","Veronica Williams",1955,"Participant control","biography",15,221.02,3
"0lfwMzBcDuPNPMt1y0yA","Joseph Young",1971,"Sell ability bank","stem",16,243.06,4
"bO3QuwrpdhM4gnClitFN","Jonathan Vaughan",1929,"Grow fund argue","non-fiction",16,156.25,2
"6Gsv7NnPLfK8gYTNagcR","Tracie David",1981,"Trip before hot","stem",1,228.42,1
"Zzqwawl7nr9Xy5cwW9G4","Zachary Jacobson",1917,"Those condition","biography",11,98.41,5
"eoyOH1kFrRiPBTnKjCR2","James Hodge",1904,"Spend discover","biography",3,291.69,1
"MCNHTRDQvQuGoWsyl89n","Tammy Leach",1902,"Available","fiction",18,163.96,1
"rhQ5QoY5YHcgbv4Juo5s","Veronica Williams",1920,"Also tough question","non-fiction",12,293.3,5
"uk38zG22WhRY0Bhh9xI7","Robert Herrera",2022,"Method significant","stem",4,86.28,2
"EmjF0mWMFO2mSuFrsUvb","Elizabeth Mack",1942,"Nature itself","biography",4,250.75,5
"CoAafS9kVGWp2F8Xv6l9","Brian Combs",2008,"Go site stage store","fiction",3,198.17,5
"BivVUhpFCjQb2xx1VyuC","David Winters",1948,"Stop without","biography",19,249.95,4
"5TJ4TF1cITtVC90fP3wU","Tammy Leach",1988,"Which help herself","self-help",12,155.36,2
"0xnVaIGpOLrqFCtaMWgU","Zachary Jacobson",2022,"Part security song","biography",0,66.69,5
"XLYIryJqK1Z8tUhmYp70","Derek Wilson",1991,"Race story his bad","stem",10,179.66,4
"ZwLj5Nt2NL9FYeCWNqis","Steven Sanchez",1916,"Hold read poor","non-fiction",16,124.77,2
"gCJAGOkjoyu7PhOrr45x","Brian Myers",1962,"Herself last yard","biography",6,62.4,4
"osX0Dj5beYKYdZ1r6UQr","Ray Torres",1921,"Specific agent","self-help",0,220.2,5
"bCtENnk3imMbyCtiWcVI","Tracie David",1979,"Yard back represent","self-help",1,137.63,1
"DBURsTvdiccnM8IqIimd","Derek Wilson",1947,"Relate how their","fiction",4,150.3,1
"9YXEJ4P7spouihQukOMd","Joseph Young",1940,"Office accept box","self-help",3,229.64,3
"iPC4yOO8rDGqaKG9VsIB","James Hodge",2009,"Take probably race","non-fiction",10,200.63,5
"dziJH7SrRwdTjLXIrRgg","Abigail Green",1900,"Husband take before","fiction",0,51.18,1
"mSFeodtXd5IKgQqhKKK7","James Hodge",1991,"Theory possible","self-help",16,116.51,1
"kJhuVZY7B1oPpnzJvU9T","Abigail Green",1924,"Hospital bad act","self-help",18,176.54,4
"q7JpNyzvwbGT7hPBnjtr","Joseph Young",1906,"Hold true need","biography",17,234.08,1
"sDOXEL8WqeknmADLdtoy","Ray Torres",1995,"Movie foreign","self-help",10,227.47,3
"PUq2KnOo8TqZSKAzTl6b","Vicki Simmons",1930,"Receive yard big","biography",14,289.61,3
"9wke5kpuDPT9mvAipnJV","Jonathan Vaughan",2014,"Early cup sister","non-fiction",11,284.1,2
"GkHB4nBEhLoZcUyqlyDy","Brian Combs",1935,"Have environmental","biography",11,246.68,3
"4nPoXjXXCJTmUjuPiN4B","Jeremy Murphy",2018,"Hot health lot","fiction",6,174.53,5
"VGjeT279OlwZeiD6e3fi","Steven Sanchez",1920,"Especially step","fiction",18,116.1,1
"QC1Pa78s5DGaj3PXSLmC","Leah Kerr",2010,"Economy like","non-fiction",0,264.08,5
"BMHRmuwwAdVR1rpa4bbq","David Winters",1901,"Quite similar hour","non-fiction",18,90.47,1
"DoFNsejsZYqU1M2PUUii","Elizabeth Mack",1974,"Stay best worry","fiction",3,114.54,5
"qJD1AaVgcAfUAxZOsVXQ","James Hodge",1955,"Continue open","biography",13,61.09,5
"HApde9GdO9DzZYJ6BMy8","Leah Kerr",2012,"Service type space","self-help",3,60.13,5
"W868rtJt1H3ZCIVpFPpp","Joseph Young",1983,"Similar up father","non-fiction",17,248.67,4
"74GZ7suUMOA3PSM0I0Lj","Tammy Leach",1947,"Whatever treat food","self-help",5,101.45,1
"4aVMUm0myq4CpsaRxvz7","Tammy Leach",1935,"Wear me interesting","biography",0,285.06,5
"Y9k5NTTX5KrbTOf7BVl1","David Winters",1924,"Become customer","non-fiction",10,27.62,1
"4WjSMKjncqULZpZyiomC","Joseph Young",2007,"Simple final","fiction",15,93.32,1
"JKbcl9xVa59y1XsEjWef","Tracie David",1932,"Probably must","self-help",2,212.07,4
"ZObv1jBfBgJhnb0A1Y0H","James Hodge",1949,"Along amount much","fiction",16,151.2,5
"FolGg2L06U1HR103zujS","Robert Herrera",1995,"Take page once","non-fiction",15,11.95,4
"DaFGz8ipCx3AKlJPPnHp","Brian Myers",1947,"Table in deal idea","stem",9,67.99,4
"O73wGSNdoAxx8QMFVt4s","Joseph Young",1957,"Grow group if arm","stem",0,114.68,4
"irDJZ6xqyxwKkIknBO5Q","James Hodge",1971,"Near grow make","self-help",0,297.58,1
"ui0uMn77OCY1ZuPEXbje","Derek Wilson",2013,"Knowledge industry","biography",8,66.43,1
"XVroxHSeTwwo8SVEzuw9","Derek Wilson",1927,"Message rise","self-help",3,80.59,5
"7PSzyWCThv3Al4oEx8zI","Vicki Simmons",1996,"Foot be beat","stem",2,96.54,2
"gJvYbYZBiQe0XfpIMi2x","Jonathan Vaughan",2000,"Last last statement","fiction",16,239.71,1
"0WUweN4QVvTsHKTUd2QM","Robert Herrera",2022,"Growth before","self-help",18,297.66,4
"6kfPS5LrWQFteUgMynRg","Abigail Green",1924,"Somebody ask try","self-help",7,227.94,3
"an2TafM5Dc0BxAYXESoZ","Robert Herrera",1910,"New its their agent","fiction",17,123.99,1
"GI0KMytepZMWT1MAGMR1","Tammy Leach",1975,"Price computer must","biography",0,51.55,1
"9A5qHNE94rTdKbmSquGE","Ray Torres",2014,"Behind management","fiction",4,282.7,5
"KVdUe6f7sJaEwSwCNgBz","Elizabeth Mack",2003,"Parent his law","self-help",10,264.4,3
"TKmCWtLXYcpO778B2YMn","Vicki Simmons",1917,"Loss class size","stem",18,290.43,3
"34YOoZcFZ81GfjJmSWWW","Carolyn Wade",2020,"Yourself one none","biography",13,183.96,3
"LdpAVirhIo2FYHEOIfHO","Zachary Jacobson",1965,"Well few after form","self-help",2,225.71,1
"kqfqOaXampIk3GGkZgRm","David Winters",1974,"Choose call case","biography",15,221.56,4
"3wTc0FdcV4AbGyAgB351","Jeremy Murphy",2018,"Site contain blood","fiction",2,143.23,2
"cxWqu0dxmi9wLcaG6US8","Leah Kerr",1908,"Represent third","biography",12,214.11,3
"pIJ2Slr472ZmIAHa8ZqV","Tracie David",1999,"Five range best","stem",14,84.57,4
"KIJwYWp5GfDf0uovLaLh","Jonathan Vaughan",2022,"Next create send","non-fiction",20,124.27,4
"idtCOZYBVtzOTkx3kLL0","Robert Herrera",1982,"Late stuff federal","biography",5,159.99,2
"lPuhQgguYb4VMu9p9GG7","Jonathan Vaughan",1920,"Alone effect bag","non-fiction",15,294.49,3
"z0abssI7oyAfoOAhTI8a","Tracie David",1939,"General president","biography",10,137.95,2
"NpJqppe3PusjF8hIWP0K","Carolyn Wade",1915,"Green here beat","stem",10,210.97,3
"eqYZYgRoPF4JeDQZOpgp","Zachary Jacobson",1908,"Reduce total by","self-help",19,176.97,1
"Pxi8JCZQEjkHd9iWP1lK","Joseph Young",1930,"In event cost lose","self-help",19,51.65,3
"wZy6IuqQcXZ897osyHUY","Jeremy Murphy",1944,"Become authority","stem",10,172.67,5
"zBZfpM3RCvPTBQD1orZB","Robert Herrera",1995,"Before establish","stem",18,202.51,5
"k06M9114tEJyySyFZxJ4","Vicki Simmons",1999,"Fly create lot","self-help",11,192.34,5
"3Kbv8JzuXRLF7BIMqjcq","Vicki Simmons",1983,"Rather human","fiction",3,164.18,5
"6Q9s682b4ClwIoIubupj","Brian Combs",1942,"Many serious work","non-fiction",16,69.99,1
"yi2UG0wFF4WUhktfHsAs","Leah Kerr",2005,"Responsibility","fiction",6,185.87,1
"jABH47Fmx8hRRWOOzK3Z","Jonathan Vaughan",1958,"Deep check","non-fiction",20,216.31,3
"OrBwqYt0tYB64FiEVNcQ","Joseph Young",2018,"Ground side eye","non-fiction",12,61.06,4
"tzOjLItZ505VOTJ0oMzR","Tracie David",1930,"Black quite simply","self-help",2,128.58,4
"0PhlMbIs3uHMQlfBeAF3","Carolyn Wade",2011,"Law campaign part","non-fiction",18,260.78,5
"w4rrs3cpNxFGgJbOYnwV","Robert Herrera",1937,"Author until deep","fiction",2,173.05,5
"AZLZ6rsPd4xJIyZE56JP","Tammy Leach",1996,"Act nearly","fiction",17,146.78,3
"gLDuPl7Ycn8wslUMEmld","Ray Torres",2005,"Fly form discover","non-fiction",17,163.6,2
"NfLtdW9WKp2x35IdNDxj","Robert Herrera",1983,"Rate inside Mrs hit","fiction",17,140.19,5
"PaITIGV4WR47FIECJFh1","Abigail Green",1963,"Rich dinner source","self-help",5,227.95,1
"4RfQ7PIAp0otdaWFIqka","Robert Herrera",1990,"Enough fight fill","non-fiction",17,272.71,2
"wZHukZhqoNs94l2hZ4tb","Tracie David",1976,"Tell very resource","biography",2,43.76,1
"bx4u6dGth6cvi3hLO0YM","Jonathan Vaughan",1933,"Daughter most thank","fiction",20,258.79,3
"uVsa2ihX1JfHlwy2DAsv","Brian Myers",1914,"Trip result of son","fiction",12,134.03,5
"3lDQFl9OtqfxJXjhZZEf","Steven Sanchez",1998,"Or cost perhaps","biography",2,115.87,5
"lY4FYmS8y4s3suSW6JJl","Tammy Leach",2024,"Realize cold time","non-fiction",8,95.88,2
"CecgU6gdPydSrobIg0hK","Steven Sanchez",1946,"Issue foot east","biography",0,292.57,5
"JeBifoIS29eRvhm8ug2X","David Winters",2010,"Themselves","stem",11,57.58,4
"Pt5FIYc2yuPQzzjEbQR7","Jonathan Vaughan",1931,"Again trade former","fiction",11,65.66,1
"ZufWwQrUgLmuSAWfn16g","Zachary Jacobson",1958,"System development","fiction",6,174.06,1
"0AXFxrWWbocjvCX0IX5R","Brian Combs",1990,"Bring red gun","non-fiction",9,124.23,1
"Xp0EFSvIAp4SspuUMGAS","James Hodge",1979,"Drug off power note","self-help",8,191.78,5
"Bkb3wkN25s3muQL9kySY","Tammy Leach",2017,"Call as per","self-help",17,143.15,1
"rOQCj9t7o3FmEmGTg8bU","Ray Torres",1994,"Hand suffer next","self-help",6,288.38,3
"za2S4nYgzWob5ISKw0Zu","David Winters",1946,"Article north start","biography",18,219.93,2
"qYfdFZ6tmujAc8Br84L9","Tracie David",1961,"Before chair cell","biography",19,279.23,1
"2yDeFaOZJi9JNk4KWsh4","Brian Myers",2016,"Stop military","self-help",5,117.22,5
"Gsbn9eJxvPdEOWOHoXJ0","Elizabeth Mack",1944,"Increase call","fiction",5,161.5,1
"c8Q6oNAM8EYDYNLoX1Bt","Leah Kerr",1976,"Practice blue","fiction",12,51.66,3
"I6yfSdNJMfYimYApiNZI","Jonathan Vaughan",2018,"My final myself yet","biography",10,150.51,2
"u3KvO8eJ7Y66dV63Yhaw","Leah Kerr",1941,"Per whether out","biography",5,287.6,3
"SoCZ55iCVpQwYHRIUIgR","Tammy Leach",2021,"Player travel","stem",4,172.48,4
"tNTFNlcjRb5ZrXjmzr01","Tammy Leach",1963,"Hotel now law local","stem",12,54.33,2
"C2DvMXLdAZmla9w1uUIY","Vicki Simmons",1931,"Form able Democrat","biography",0,259.15,1
"BYdDxCvbWwtJQPKWZe0i","Elizabeth Mack",1962,"Paper fact","fiction",5,30.74,5
"kRrtVBVPlxDnZ3khO5GQ","Leah Kerr",1908,"Inside develop","non-fiction",7,98.35,4
"xMahpEbwU2rWuDCEPNA7","James Hodge",1927,"Race responsibility","biography",12,291.66,2
"b9qN7DC4WgqEUYE1FOj3","Robert Herrera",1978,"Civil store ten","self-help",0,101.82,4
"7WUt4vGjrkjeBjKpYaah","Tracie David",2003,"Attorney health","fiction",8,121.85,1
"khtBHNHEUfsrR6hYzReN","Tammy Leach",1935,"Actually shoulder","fiction",19,21.71,1
"SxQrn7i0IrksWhibV2zC","Brian Combs",2008,"Ago why across","fiction",17,21.75,3
"IdZdoom6q4xWtAOXy891","James Hodge",1975,"Generation family","stem",4,108.71,5
"Dpn9Dpffrgia1mfscsFm","Vicki Simmons",1971,"Prevent whatever","fiction",6,269.38,5
"8XZe5YNIua6lUpZIIezq","Jeremy Murphy",1997,"Near effort create","self-help",0,178.52,1
"SQ8wH1DDDXCaUtfOcF4Q","Brian Myers",1970,"Also race amount","stem",11,175.24,4
"fmq4Jt9Xpnh4ps4eFkQT","Carolyn Wade",1904,"He PM cover game","biography",20,251.67,5
"6LA6jWv0pGz7GVDFqwK2","Jonathan Vaughan",1983,"Commercial deal","non-fiction",12,111.52,3
"mpXuNJgzjGYpREDau264","Steven Sanchez",1938,"Feel later","self-help",17,110.15,3
"UeM7zZcq6cN4EEPJ2NQI","Jonathan Vaughan",1990,"On test member","non-fiction",9,154.49,3
"AKbc0AMEHogmbKltNrXu","Leah Kerr",1937,"Talk until director","self-help",9,52.66,3
"ivMrt8NsVZHDainm1Ko6","Tracie David",1939,"Prepare control lay","non-fiction",7,227.28,5
"sPx17d2s3ln46cTXKeLX","Abigail Green",1995,"Which yet nor","stem",3,199.36,5
"9WRQiWFfv5rgSkXrBFKK","Veronica Williams",1922,"Word play site","biography",9,27.11,2
"MOlgB0Muu62IyTRIa6Km","Steven Sanchez",2012,"Government yes","stem",4,227.54,1
"3N606i1eVGNK5tAU2oSU","Robert Herrera",1946,"Significant develop","stem",1,59.45,4
"XnsMIlgdeI4bscqOggDI","Brian Myers",1980,"Class year realize","self-help",5,261.27,4
"W9WQ5AzagrQfeFJYF0c4","Brian Myers",1954,"Box order sure","stem",7,276.95,4
"Vy6InRn5ApyPdPvSXIWl","Brian Combs",1960,"Police involve","self-help",7,145.9,1
"utX2xuDQFyU28LTL2Er0","Steven Sanchez",1939,"Organization send","non-fiction",11,195.89,2
"myAt0vjaZ0huOmSNmrWk","Jeremy Murphy",1946,"Truth hand minute","self-help",13,174.97,1
"pl6PWx0YrGbbXO77rNf0","David Winters",1924,"Inside draw","non-fiction",11,295.18,5
"QTmE83PIeKKdJAOjzaQ1","Robert Herrera",1967,"Full likely guy","stem",5,292.94,1
